entrezID	mappingID
7003	8
51596	42
1261	44
54714	45
7291	57
643309	61
648740	76
100462767	77
79839	96
348	99
196883	110
120	121
146	149
55630	168
375790	180
57486	184
6567	193
57491	194
79026	195
778	198
10117	200
412	209
391538	227
401982	232
729347	234
390402	235
728113	244
57679	252
23064	254
55806	256
7169	260
4882	264
222005	294
266623	296
442525	298
644042	299
442255	300
1280	315
364	365
644000	370
378	376
388	385
389	386
83872	404
7043	422
6262	423
3106	426
129880	428
5309	437
389652	441
442167	446
158452	448
339845	452
340274	456
392302	457
341230	458
85300	464
522	497
442416	500
498	502
442416	503
645443	505
665	510
509	511
645560	512
10476	519
729435	530
343515	531
100462844	532
50617	536
3184	548
54840	557
28982	559
7080	562
646282	564
401393	565
6872	569
84100	584
3827	589
348980	609
27032	612
400892	614
644165	615
4920	621
9759	626
84295	630
23397	679
10555	681
652963	691
132556	692
1028	702
5002	703
5003	704
5728	707
727859	723
8577	736
64776	737
738	739
9024	743
29800	748
10328	749
10328	751
754	756
56934	769
10216	787
4854	791
302	792
100128390	803
802	809
1069	812
147381	870
871	872
84733	876
2201	877
1415	879
2651	880
200575	888
595	893
4171	903
6261	906
27087	964
146059	979
10483	980
728642	985
728642	986
1778	992
578	1035
10682	1037
6584	1042
429	1064
1066	1067
391039	1076
100131874	1077
645980	1078
1947	1079
23230	1100
590	1110
6023	1115
2228	1126
2229	1127
338917	1148
3561	1150
2074	1162
23203	1165
492	1166
160	1168
161	1169
163	1170
162	1171
164	1172
1917	1177
5243	1189
1811	1190
9124	1194
3912	1199
80331	1202
54982	1205
256471	1206
6197	1210
8218	1214
6687	1216
4000	1217
11155	1219
7139	1220
6331	1221
1674	1222
1674	1223
7137	1224
56172	1225
4625	1226
7139	1227
7168	1228
3577	1229
729230	1231
1524	1239
2852	1242
5376	1248
23095	1249
7879	1250
54332	1251
8898	1252
11081	1256
358	1273
6103	1274
157680	1276
1303	1304
80781	1309
1406	1320
3000	1322
3000	1323
22999	1324
122867	1328
100288440	1334
140603	1341
100462850	1344
1353	1354
340451	1372
50945	1377
5648	1383
55636	1391
171422	1402
7291	1403
200575	1422
6513	1433
60506	1449
778	1450
60506	1451
283106	1458
11136	1461
6899	1492
3299	1494
3728	1502
440387	1505
7276	1507
118945	1516
100128621	1530
100289051	1533
643160	1542
1548	1547
1550	1552
1555	1554
1559	1560
1562	1561
1557	1563
1564	1567
1565	1569
1568	1570
1576	1575
2703	1597
2700	1598
2700	1599
488	1614
1620	1619
1718	1631
10540	1640
4137	1651
440081	1664
5631	1679
23676	1682
2950	1683
2707	1685
79784	1686
7466	1688
2070	1691
1302	1692
7466	1693
4627	1695
259236	1698
117531	1699
64699	1700
9381	1701
64699	1702
117531	1703
64072	1704
126326	1707
161497	1708
10083	1710
23312	1711
1834	1715
729816	1721
200895	1722
64840	1724
2202	1726
1748	1751
1760	1752
7555	1753
147912	1754
25981	1764
146754	1765
55567	1766
127602	1772
79659	1779
1778	1782
420	1792
1798	1799
190	1835
441554	1851
441554	1853
8518	1860
6872	1863
10382	1864
55145	1865
9856	1868
100420003	1873
3785	1882
3786	1883
5339	1886
10804	1897
10913	1898
5818	1899
780	1900
1311	1904
1298	1905
1915	1916
100421865	1919
100421854	1920
158078	1921
221838	1922
390924	1923
389179	1924
441032	1925
100421829	1926
440595	1927
644604	1928
133283	1929
647167	1930
643563	1931
644820	1935
57526	1941
10209	1963
83939	1966
3692	1971
1964	1976
143244	1985
114327	1988
2707	1989
2720	2008
2023	2024
9211	2061
5034	2062
1161	2075
2048	2080
6541	2084
144847	2102
1326	2105
1999	2106
1814	2111
8322	2126
4693	2127
344191	2129
100287682	2136
4948	2142
4948	2144
3998	2154
646480	2174
2180	2179
2950	2183
2175	2190
100132417	2211
128	2223
343332	2225
645931	2238
55605	2240
100462812	2265
9968	2269
2290	2291
2290	2292
2290	2293
645	2320
342184	2325
9513	2333
257	2336
100422691	2338
283226	2340
219595	2344
219595	2347
390221	2349
2272	2385
867	2439
2475	2476
84548	2482
2919	2493
646362	2505
646362	2511
284764	2513
392437	2514
9636	2536
2542	2544
2542	2545
2553	2552
51083	2586
23193	2594
391077	2598
2616	2599
645024	2600
7180	2602
729403	2603
100128961	2604
442231	2605
391069	2606
389849	2607
645256	2608
100132601	2610
642259	2612
1738	2654
79017	2655
8200	2659
9563	2663
394	2666
2679	2680
121328	2682
2697	2704
127534	2708
201989	2711
130589	2718
10133	2725
136371	2726
2748	-
401708	2755
392305	2756
9380	2758
79158	2795
645538	2807
391139	2808
644138	2809
221914	2818
1524	2836
347853	2839
10803	2851
257202	2881
441481	2883
171423	2924
145258	2927
730152	2943
390226	2985
8338	3011
8349	3016
126961	3019
8370	3022
708	3025
3033	3027
4948	3058
3075	3076
3078	3079
2767	3086
3973	3088
10166	3089
904	3095
642546	3100
284459	3102
342945	3103
646702	3114
340784	3168
729423	3179
6910	3180
140803	3194
6469	3243
6496	3245
7050	3246
3255	3256
55806	3264
6905	3271
9098	3277
79577	3278
79577	3279
1910	3282
391076	3285
440606	3286
441900	3287
128102	3288
391081	3289
643646	3296
10558	3302
653553	3318
653364	3319
3320	3325
7190	3328
3332	3330
645808	3331
3332	3333
345041	3334
645548	3335
6513	3345
55997	3348
100421479	3353
5818	3365
8284	3372
6329	3374
64127	3377
10020	3379
4620	3380
112476	3387
26154	3389
26154	3392
27019	3393
3620	3395
3630	3401
387082	3404
3559	3409
1493	3411
103	3427
7453	3432
8373	3435
3431	3436
1660	3450
158011	3462
646581	3468
392292	3470
100130671	3471
100130866	3472
360001	3473
2206	3477
3492	3506
3492	3509
3517	3518
339562	3526
2651	3528
91353	3545
7850	3555
1439	3564
157916	3571
100128449	3582
439945	3583
729486	3584
3560	3602
55342	3610
727833	3616
5002	3618
56652	3648
8517	3649
8517	3650
48	3657
2296	3666
442338	3668
3680	3677
3700	3701
182	3715
546	3721
1075	3722
6259	3723
6260	3724
2260	3731
128674	3733
3739	3740
6905	3771
3768	3774
145226	3789
392255	3793
6303	3794
10748	3819
8085	3826
80781	3828
3799	3830
387264	3847
729252	3862
147228	3873
339241	3874
392371	3877
119722	3878
3854	3893
6351	3900
10578	3901
284217	3907
387867	3917
100421198	3919
645326	3922
51520	3926
11214	3928
100190799	3941
442013	3942
158222	3943
729666	3944
100289475	3946
51176	3951
2131	3966
9499	3967
4000	3968
8291	3969
8557	3970
22954	3971
3980	3979
9415	3994
84823	3999
4000	4002
55885	4006
6402	4011
80350	4020
7069	4021
9056	4022
6578	4024
3757	4027
287	4028
4041	4039
7804	4042
2317	4044
6510	4075
7975	4098
7851	4119
6445	4120
4130	4132
23532	4136
4137	4138
56922	4164
64087	4165
4582	4169
670	4177
79648	4180
284403	4181
5048	4186
401577	4196
2122	4197
6520	4198
203547	4202
55624	4203
79258	4220
961	4229
8823	4235
7048	4243
8029	4244
91851	4251
4330	4252
5728	4260
477	4262
6261	4263
3897	4268
4179	4272
4072	4275
100507436	4276
54903	4290
65108	4304
3052	4307
4327	4315
64386	4328
23405	4333
1890	4334
3172	4339
6927	4341
280637	4344
2023	4346
4625	4347
2120	4348
58	4349
23096	4365
10084	4367
3054	4368
24140	4373
11141	4374
57187	4376
8242	4377
4204	4380
6197	4383
11141	4385
6567	4386
170302	4393
5063	4394
170302	4396
170302	4398
11141	4399
57187	4400
170302	4401
170302	4403
170302	4407
24140	4408
347344	4409
9459	4410
5063	4411
546	4415
170302	4417
10084	4418
7102	4421
8905	4422
4983	4423
65109	4425
2182	4426
56979	4433
3685	4446
3675	4454
4059	4455
4684	4474
64374	4483
7046	4484
441771	4491
326343	4492
644314	4497
645652	4529
140851	4532
727897	4587
100129528	4590
3662	4592
84176	4623
4640	4631
51168	4652
23040	4662
7504	4663
689	4667
9131	4672
80025	4679
654817	4687
4704	4721
374291	4727
121441	4732
3301	4737
114991	4740
5630	4742
9118	4743
339396	4746
7170	4754
4703	4755
780	4757
401007	4765
100419029	4767
644637	4769
440225	4770
6551	4797
159296	4822
644524	4823
1728	4834
201288	4844
645740	4845
23019	4847
4858	4859
1184	4865
1184	4866
100128903	4873
10831	4876
6556	4890
5781	4903
5422	4906
780	4918
26232	4930
90167	4932
627	4949
100506658	4950
130497	4955
2492	4959
1896	4960
8481	4966
1277	4970
682	4971
2316	4979
2316	4980
4041	4984
10280	4989
390756	4996
390756	4997
94	5006
340990	5011
593	5014
53947	5022
389884	5038
8106	5039
285314	5040
341315	5041
10606	5059
780814	5060
780815	5061
1075	5065
6622	5070
4299	5085
3815	5086
3872	5103
5589	5107
359806	5114
359805	5115
649	5117
5045	5123
54760	5124
1594	5135
56652	5180
55748	5181
51056	5186
5199	5200
8647	5206
5213	5215
643834	5220
643847	5221
342705	5227
6392	5234
54949	5235
55276	5237
283871	5240
8905	5242
100418837	5247
391044	5248
100418774	5249
5256	5254
6658	5263
390502	5299
729330	5323
285189	5344
7305	5353
55558	5363
390831	5374
5387	5381
5379	5384
5379	5385
5379	5386
100288713	5388
441263	5389
64599	5390
100132832	5391
100101440	5392
25953	5405
2332	5421
3145	5448
642559	5461
57335	5466
100289640	5472
728045	5474
659	5477
51645	5482
319128	5484
341457	5490
8456	5492
54704	5497
84152	5503
84687	5508
6041	5513
653247	5543
3087	5556
8165	5560
11217	5561
51422	5572
441733	5614
4000	5622
221823	5632
100421295	5633
5119	5642
5646	5647
7068	5656
170302	5658
1311	5659
3107	5674
440533	5677
653492	5679
9861	5712
79092	5722
2185	5748
780	5749
7294	5751
2444	5752
4486	5755
150928	5762
8073	5766
646981	5772
646758	5773
84867	5776
26191	5779
6638	5821
368	5823
2237	5882
348910	5895
727851	5904
100287769	5943
375850	5946
157570	5951
7428	5952
114625	5958
6510	5960
643244	5963
10084	5974
3640	6020
54714	6021
125050	6028
284203	6040
6080	6042
26863	6062
780851	6067
26768	6081
3614	6105
26121	6106
23418	6107
10594	6108
7287	6109
6103	6110
762	6111
9129	6112
24	6113
8481	6115
647436	6127
401904	6149
100131339	6162
646013	6220
2887	6250
4204	6254
114625	6306
25894	6312
6712	6313
64421	6321
6326	6325
6332	6333
390788	6350
5625	6379
319100	6380
5905	6381
9672	6384
2719	6394
10934	6408
1991	6417
653509	6435
100288405	6437
392255	6438
50618	6454
727736	6460
7979	6467
546	6475
26503	6479
84620	6481
10610	6488
728622	6501
100128062	6516
386757	6537
84889	6544
389015	6552
6645	6562
1717	6589
6606	6592
10743	6600
1917	6669
3617	6673
93986	6679
3239	6680
51062	6681
9420	6684
123606	6686
6611	6735
4809	6743
202	6763
1316	6766
6785	6784
6198	6796
64324	6797
9322	6798
201254	6800
412	6802
112755	6805
2054	6806
2054	6807
2054	6808
2107	6823
100132121	6826
11198	6831
9241	6851
127833	6858
84258	6859
6863	6864
347853	6912
260341	6930
260340	6931
83439	6933
4779	6937
647047	6951
202500	6989
1646	6994
6736	6995
29928	7017
391158	7028
100129696	7034
7454	7061
2304	7081
5806	7129
7148	7147
79651	7149
8626	7160
7177	7176
343477	7191
7210	7213
650368	7261
2068	7269
92755	7281
647000	7282
645668	7285
2044	7304
7310	7308
7307	7309
283556	7330
100506424	7331
9959	7340
60495	7354
7360	7359
30833	7370
391051	7377
442454	7382
100130719	7383
100128525	7387
10083	7394
64072	7395
65217	7397
84059	7400
6899	7413
3069	7426
654	7427
7010	7437
5498	7440
726	7445
3685	7449
3664	7452
7461	7460
6521	7463
2200	7470
4286	7487
116442	7489
55869	7492
55906	7493
2072	7509
57109	7510
7511	7513
2189	7522
7529	7527
7534	7530
124961	7537
7581	7557
7582	7558
7596	7560
219749	7573
7767	7575
90075	7578
80778	7583
100129482	7588
7594	7590
51710	7595
84307	7598
197407	7599
339327	7600
342945	7601
115560	7602
51710	7607
126295	7609
51710	7610
7709	7611
7694	7612
255877	7613
55888	7615
23361	7616
58491	7622
58492	7630
7694	7631
347344	7635
